"psu","n","new_ID","governorate","district","name","label"
"2709003",2,"cluster_location_id_0745","ninewa","tilkaef","Al Qawsiyat","0745 (Al Qawsiyat)"
"2709004",1,"cluster_location_id_0746","ninewa","tilkaef","Al Quba","0746 (Al Quba)"
"2709005",1,"cluster_location_id_0747","ninewa","tilkaef","Alqosh","0747 (Alqosh)"
"2709011",2,"cluster_location_id_0748","ninewa","tilkaef","Bozan","0748 (Bozan)"
"2709016",1,"cluster_location_id_0749","ninewa","tilkaef","Diwasa","0749 (Diwasa)"
"2709032",1,"cluster_location_id_0750","ninewa","tilkaef","Pabera Complex","0750 (Pabera Complex)"
"2709037",1,"cluster_location_id_0751","ninewa","tilkaef","Sharafiya","0751 (Sharafiya)"
"2709038",1,"cluster_location_id_0752","ninewa","tilkaef","Shaykhaka","0752 (Shaykhaka)"
"2709045",1,"cluster_location_id_0753","ninewa","tilkaef","Tallsquf","0753 (Tallsquf)"
"2709053",1,"cluster_location_id_0754","ninewa","tilkaef","Derston","0754 (Derston)"
"2709065",1,"cluster_location_id_0755","ninewa","tilkaef","Al-Mistah","0755 (Al-Mistah)"
"2709067",1,"cluster_location_id_0756","ninewa","tilkaef","Qara-Kharab","0756 (Qara-Kharab)"
"2709075",1,"cluster_location_id_0757","ninewa","tilkaef","Felfel","0757 (Felfel)"
"2709076",1,"cluster_location_id_0758","ninewa","tilkaef","Al-Naser Complex","0758 (Al-Naser Complex)"
"2709086",1,"cluster_location_id_0759","ninewa","al.shikhan","Shwedeg Sagheer","0759 (Shwedeg Sagheer)"
"2709089",1,"cluster_location_id_0760","ninewa","tilkaef","Babnet Al_ olyia","0760 (Babnet Al_ olyia)"
"2801001",1,"cluster_location_id_0761","salah al-din","al.daur","Al-Khadhra area","0761 (Al-Khadhra area)"
"2801004",1,"cluster_location_id_0762","salah al-din","al.daur","Hay Mohammad Aldorri-Mhalla 107","0762 (Hay Mohammad Aldorri-Mhalla 107)"
"2801013",1,"cluster_location_id_0763","salah al-din","al.daur","Al Asriyah village","0763 (Al Asriyah village)"
"2801015",1,"cluster_location_id_0764","salah al-din","al.daur","Al Mujammaa Al Sakani","0764 (Al Mujammaa Al Sakani)"
"2801016",1,"cluster_location_id_0765","salah al-din","al.daur","Hay Abu Dalaf","0765 (Hay Abu Dalaf)"
"2801017",1,"cluster_location_id_0766","salah al-din","al.daur","Hay Al Aboor","0766 (Hay Al Aboor)"
"2801018",1,"cluster_location_id_0767","salah al-din","al.daur","Hay Al Askri","0767 (Hay Al Askri)"
"2801019",1,"cluster_location_id_0768","salah al-din","al.daur","Hay Al Mahad","0768 (Hay Al Mahad)"
"2801020",1,"cluster_location_id_0769","salah al-din","al.daur","Hay Al Sharqiyah","0769 (Hay Al Sharqiyah)"
"2801021",1,"cluster_location_id_0770","salah al-din","al.daur","Hay Tal Al Banat","0770 (Hay Tal Al Banat)"
"2801022",1,"cluster_location_id_0771","salah al-din","al.daur","Hay Al Qadisiah","0771 (Hay Al Qadisiah)"
"2802003",1,"cluster_location_id_0772","salah al-din","al.shirqat","Al Fajir village(Al Tasni)","0772 (Al Fajir village(Al Tasni))"
"2802007",2,"cluster_location_id_0773","salah al-din","al.shirqat","Hay Al Jumiala","0773 (Hay Al Jumiala)"
"2802015",1,"cluster_location_id_0774","salah al-din","al.shirqat","Hay Al Askari","0774 (Hay Al Askari)"
"2802016",3,"cluster_location_id_0775","salah al-din","al.shirqat","Hay Al Qasbah","0775 (Hay Al Qasbah)"
"2802017",1,"cluster_location_id_0776","salah al-din","al.shirqat","Hay Al Ziraa","0776 (Hay Al Ziraa)"
"2802018",1,"cluster_location_id_0777","salah al-din","al.shirqat","Huriyah al jazerah-Al-Aboud","0777 (Huriyah al jazerah-Al-Aboud)"
"2802025",1,"cluster_location_id_0778","salah al-din","al.shirqat","Qaryat Al Sabkha","0778 (Qaryat Al Sabkha)"
"2802028",3,"cluster_location_id_0779","salah al-din","al.shirqat","Tal Al Jumiala area","0779 (Tal Al Jumiala area)"
"2802034",1,"cluster_location_id_0780","salah al-din","al.shirqat","Hay Al-Khasim Al-Qadem village","0780 (Hay Al-Khasim Al-Qadem village)"
"2802035",2,"cluster_location_id_0781","salah al-din","al.shirqat","Al-Qudus","0781 (Al-Qudus)"
"2802039",1,"cluster_location_id_0782","salah al-din","al.shirqat","Al-Ayitha Village","0782 (Al-Ayitha Village)"
"2802040",1,"cluster_location_id_0783","salah al-din","al.shirqat","Al-Musehly Village","0783 (Al-Musehly Village)"
"2802045",1,"cluster_location_id_0784","salah al-din","beygee","Al-Sfeena Village","0784 (Al-Sfeena Village)"
"2802047",1,"cluster_location_id_0785","salah al-din","al.shirqat","Sudayrah Aulya Village","0785 (Sudayrah Aulya Village)"
"2802049",1,"cluster_location_id_0786","salah al-din","beygee","Al-Salman village","0786 (Al-Salman village)"
"2802052",1,"cluster_location_id_0787","salah al-din","al.shirqat","Al-Mashhad Village","0787 (Al-Mashhad Village)"
"2802053",1,"cluster_location_id_0788","salah al-din","al.shirqat","Awegylah Village","0788 (Awegylah Village)"
"2802054",1,"cluster_location_id_0789","salah al-din","al.shirqat","Al-Sheekh Hamad Village","0789 (Al-Sheekh Hamad Village)"
"2803001",1,"cluster_location_id_0790","salah al-din","beygee","Al Mushhaq Village","0790 (Al Mushhaq Village)"
"2803003",1,"cluster_location_id_0791","salah al-din","beygee","Al Shiwesh village","0791 (Al Shiwesh village)"
"2803006",1,"cluster_location_id_0792","salah al-din","beygee","Hay Tal Al Zatar-mahalla 219","0792 (Hay Tal Al Zatar-mahalla 219)"
"2803010",1,"cluster_location_id_0793","salah al-din","beygee","Qaryat Al Sareen","0793 (Qaryat Al Sareen)"
"2803015",2,"cluster_location_id_0794","salah al-din","beygee","Albu Tuama Village","0794 (Albu Tuama Village)"
"2803016",2,"cluster_location_id_0795","salah al-din","beygee","Al Hamra village","0795 (Al Hamra village)"
"2803017",2,"cluster_location_id_0796","salah al-din","beygee","Al Hejaj Village-13","0796 (Al Hejaj Village-13)"
"2803018",1,"cluster_location_id_0797","salah al-din","beygee","Al Mazraa Village","0797 (Al Mazraa Village)"
"2803022",1,"cluster_location_id_0798","salah al-din","beygee","Al-Zweeyah Village ","0798 (Al-Zweeyah Village )"
"2803029",1,"cluster_location_id_0799","salah al-din","beygee","Hay Altameem","0799 (Hay Altameem)"
"2803033",1,"cluster_location_id_0800","salah al-din","beygee","Hay Alnour village","0800 (Hay Alnour village)"
"2803040",1,"cluster_location_id_0801","salah al-din","beygee","Alharejiya village","0801 (Alharejiya village)"
"2803041",1,"cluster_location_id_0802","salah al-din","beygee","Jedaeda village","0802 (Jedaeda village)"
"2803047",1,"cluster_location_id_0803","salah al-din","beygee","AL-Siniya","0803 (AL-Siniya)"
"2804001",1,"cluster_location_id_0804","salah al-din","samarra","Al Hardaniyah","0804 (Al Hardaniyah)"
"2804002",1,"cluster_location_id_0805","salah al-din","balad","Al Mashrooa Village","0805 (Al Mashrooa Village)"
"2804005",2,"cluster_location_id_0806","salah al-din","balad","Albu Jewari","0806 (Albu Jewari)"
"2804006",1,"cluster_location_id_0807","salah al-din","balad","Al-Duloeyah-Hay Al Jubor","0807 (Al-Duloeyah-Hay Al Jubor)"
"2804007",1,"cluster_location_id_0808","salah al-din","balad","Al-Duloeyah-Hay khazraj","0808 (Al-Duloeyah-Hay khazraj)"
"2804009",1,"cluster_location_id_0809","salah al-din","balad","Beshakan village","0809 (Beshakan village)"
"2804013",1,"cluster_location_id_0810","salah al-din","balad","Mahalla-Abu Sefa-1","0810 (Mahalla-Abu Sefa-1)"
"2804016",1,"cluster_location_id_0811","salah al-din","balad","Al-Juboor Village","0811 (Al-Juboor Village)"
"2804018",1,"cluster_location_id_0812","salah al-din","balad","Yathrib sub distrct ","0812 (Yathrib sub distrct )"
"2804021",1,"cluster_location_id_0813","salah al-din","balad","Al_Farhateya village","0813 (Al_Farhateya village)"
"2804022",1,"cluster_location_id_0814","salah al-din","balad","Balad station","0814 (Balad station)"
"2804023",1,"cluster_location_id_0815","salah al-din","balad","Sinjaar","0815 (Sinjaar)"
"2804024",1,"cluster_location_id_0816","salah al-din","balad","Jwezerat","0816 (Jwezerat)"
"2804025",1,"cluster_location_id_0817","salah al-din","balad","OM Shaeefa","0817 (OM Shaeefa)"
"2804026",1,"cluster_location_id_0818","salah al-din","balad","Aziz Balad","0818 (Aziz Balad)"
"2805005",1,"cluster_location_id_0819","salah al-din","balad","Al Zuheari Village","0819 (Al Zuheari Village)"
"2805008",1,"cluster_location_id_0820","salah al-din","balad","Bezna Village","0820 (Bezna Village)"
"2805010",1,"cluster_location_id_0821","salah al-din","balad","Hay Al Hussien","0821 (Hay Al Hussien)"
"2805013",1,"cluster_location_id_0822","salah al-din","balad","Hay Al Wihda Mahala 102","0822 (Hay Al Wihda Mahala 102)"
"2805016",1,"cluster_location_id_0823","salah al-din","balad","Markaz Al-Dujeel-Al Shabab village","0823 (Markaz Al-Dujeel-Al Shabab village)"
"2805018",1,"cluster_location_id_0824","salah al-din","balad","Markaz Al-Dujeel-Hay Al Wihda Mahala 101","0824 (Markaz Al-Dujeel-Hay Al Wihda Mahala 101)"
"2805019",1,"cluster_location_id_0825","salah al-din","balad","Markaz Al-Dujeel-Hay Al Wihda Mahala 103","0825 (Markaz Al-Dujeel-Hay Al Wihda Mahala 103)"
"2806003",1,"cluster_location_id_0826","salah al-din","samarra","Al Jubairiyah Al Thalitha","0826 (Al Jubairiyah Al Thalitha)"
"2806005",2,"cluster_location_id_0827","salah al-din","samarra","Al Qala-Mahal 201","0827 (Al Qala-Mahal 201)"
"2806006",1,"cluster_location_id_0828","salah al-din","samarra","Al Sayoya-Mahala 1","0828 (Al Sayoya-Mahala 1)"
"2806007",1,"cluster_location_id_0829","salah al-din","samarra","Al_Jazera","0829 (Al_Jazera)"
"2806008",2,"cluster_location_id_0830","salah al-din","samarra","Al-Abasiya Village","0830 (Al-Abasiya Village)"
"2806009",1,"cluster_location_id_0831","salah al-din","samarra","Al-Efraz area","0831 (Al-Efraz area)"
"2806010",3,"cluster_location_id_0832","salah al-din","samarra","Al-Hewaish area","0832 (Al-Hewaish area)"
"2806012",1,"cluster_location_id_0833","salah al-din","samarra","Al-Shuhadaa-Mahalla 324","0833 (Al-Shuhadaa-Mahalla 324)"
"2806014",1,"cluster_location_id_0834","salah al-din","samarra","Hay Al Baladiya-104","0834 (Hay Al Baladiya-104)"
"2806021",1,"cluster_location_id_0835","salah al-din","samarra","Hay Al Mutasim-mahala 105","0835 (Hay Al Mutasim-mahala 105)"
"2806022",1,"cluster_location_id_0836","salah al-din","samarra","Hay Al Muthanna-Mahalla 312","0836 (Hay Al Muthanna-Mahalla 312)"
"2806024",1,"cluster_location_id_0837","salah al-din","samarra","Hay Al Wathiq-Mahala 314","0837 (Hay Al Wathiq-Mahala 314)"
"2806025",1,"cluster_location_id_0838","salah al-din","samarra","Hay Al Zuhoor(Al qala 4)Mahala 202","0838 (Hay Al Zuhoor(Al qala 4)Mahala 202)"
"2806027",1,"cluster_location_id_0839","salah al-din","samarra","Hay Al-Khathraa Mahala 322","0839 (Hay Al-Khathraa Mahala 322)"
"2806037",1,"cluster_location_id_0840","salah al-din","samarra","Al-Tresha-Albu Fahed","0840 (Al-Tresha-Albu Fahed)"
"2806048",1,"cluster_location_id_0841","salah al-din","samarra","Al-Jillam area","0841 (Al-Jillam area)"
"2806050",1,"cluster_location_id_0842","salah al-din","samarra","Hawi Albsat","0842 (Hawi Albsat)"
"2806053",1,"cluster_location_id_0843","salah al-din","samarra","Mahalla Makeshfa","0843 (Mahalla Makeshfa)"
"2808001",1,"cluster_location_id_0844","salah al-din","tikrit","Al Ahad Al Jadid village","0844 (Al Ahad Al Jadid village)"
"2808002",1,"cluster_location_id_0845","salah al-din","tikrit","Hay Al Askari","0845 (Hay Al Askari)"
"2808007",1,"cluster_location_id_0846","salah al-din","tikrit","Al Namah Al ShamaliyahVillage","0846 (Al Namah Al ShamaliyahVillage)"
"2808013",1,"cluster_location_id_0847","salah al-din","tikrit","Hay Al Asry Al Jadid-404","0847 (Hay Al Asry Al Jadid-404)"
"2808025",1,"cluster_location_id_0848","salah al-din","tikrit","Samrah Village","0848 (Samrah Village)"
"2808028",1,"cluster_location_id_0849","salah al-din","tikrit","Qadisya 2 500 Area","0849 (Qadisya 2 500 Area)"
"2808031",3,"cluster_location_id_0850","salah al-din","tikrit","Al-Mutaradah 204","0850 (Al-Mutaradah 204)"
"2808034",1,"cluster_location_id_0851","salah al-din","tikrit","Hammad Shihab","0851 (Hammad Shihab)"
"2808043",1,"cluster_location_id_0852","salah al-din","tikrit","Al Karama Village","0852 (Al Karama Village)"
"2808048",1,"cluster_location_id_0853","salah al-din","tikrit","Hay Al Anwaa Mahala 420","0853 (Hay Al Anwaa Mahala 420)"
"2808053",2,"cluster_location_id_0854","salah al-din","tikrit","Hay Aljamiyaa","0854 (Hay Aljamiyaa)"
"2808057",1,"cluster_location_id_0855","salah al-din","tikrit","Hay Al Zuhour-422","0855 (Hay Al Zuhour-422)"
"2808061",2,"cluster_location_id_0856","salah al-din","tikrit","Qadisya 1 Mahala 214","0856 (Qadisya 1 Mahala 214)"
"2808062",2,"cluster_location_id_0857","salah al-din","tikrit","Qadisya 2 Mahala 216","0857 (Qadisya 2 Mahala 216)"
"2808063",2,"cluster_location_id_0858","salah al-din","tikrit","Tal-Al Sibaat Village","0858 (Tal-Al Sibaat Village)"
"2808068",1,"cluster_location_id_0859","salah al-din","tikrit","Hay Aldiuom","0859 (Hay Aldiuom)"
"2808071",2,"cluster_location_id_0860","salah al-din","tikrit","Hay Alqalaa","0860 (Hay Alqalaa)"
"2808072",1,"cluster_location_id_0861","salah al-din","tikrit","Hay Alkahrbaa","0861 (Hay Alkahrbaa)"
"2808080",1,"cluster_location_id_0862","salah al-din","tikrit","Mahalla Al Aed","0862 (Mahalla Al Aed)"
"2808081",3,"cluster_location_id_0863","salah al-din","tikrit","Hay Al Dhubbat","0863 (Hay Al Dhubbat)"
"2808082",1,"cluster_location_id_0864","salah al-din","tikrit","Hay Al-Sikak","0864 (Hay Al-Sikak)"
"2808084",1,"cluster_location_id_0865","salah al-din","tikrit","Al Auja village ","0865 (Al Auja village )"
"2808085",1,"cluster_location_id_0866","salah al-din","tikrit","Al-Dibsa Village","0866 (Al-Dibsa Village)"
"2808089",2,"cluster_location_id_0867","salah al-din","tikrit","Al-Qadisya Complex","0867 (Al-Qadisya Complex)"
"2809003",1,"cluster_location_id_0868","salah al-din","tooz.khurmato","Hay Aqsu","0868 (Hay Aqsu)"
"2809004",1,"cluster_location_id_0869","salah al-din","tooz.khurmato","Hay Garmian","0869 (Hay Garmian)"
"2809005",3,"cluster_location_id_0870","salah al-din","tooz.khurmato","Hay Komari-120","0870 (Hay Komari-120)"
"2809007",1,"cluster_location_id_0871","salah al-din","tooz.khurmato","Hay Rizgari-114","0871 (Hay Rizgari-114)"
"2809008",1,"cluster_location_id_0872","kirkuk","daquq","Hay Shoraw-1","0872 (Hay Shoraw-1)"
"2809010",1,"cluster_location_id_0873","salah al-din","tooz.khurmato","Markaz Tooz-Hay Al Askari","0873 (Markaz Tooz-Hay Al Askari)"
"2809012",1,"cluster_location_id_0874","salah al-din","tooz.khurmato","Markaz Tooz-Hay Al Taiyar 122","0874 (Markaz Tooz-Hay Al Taiyar 122)"
"2809015",2,"cluster_location_id_0875","salah al-din","tooz.khurmato","Markaz Tooz-Hay Brayati","0875 (Markaz Tooz-Hay Brayati)"
"2809016",1,"cluster_location_id_0876","salah al-din","tooz.khurmato","Markaz Tooz-Hay Imam Ahmed","0876 (Markaz Tooz-Hay Imam Ahmed)"
"2809017",1,"cluster_location_id_0877","salah al-din","tooz.khurmato","Markaz Tooz-Jesir Dara","0877 (Markaz Tooz-Jesir Dara)"
