Governorate,district,popgroup,Sampling.type,Population,stratum
Anbar,al.falluja,returnee,Cluster sampling,90609,al.fallujareturnee
Ninewa,al.hamdaniya,returnee,Cluster sampling,28985,al.hamdaniyareturnee
Ninewa,al.hatra,returnee,Cluster sampling,3512,al.hatrareturnee
Kirkuk,al.hawiga,returnee,Cluster sampling,24130,al.hawigareturnee
Baghdad,al.kadhmiyah,returnee,Cluster sampling,4720,al.kadhmiyahreturnee
Anbar,al.kaim,returnee,Cluster sampling,6392,al.kaimreturnee
Diyala,al.khalis,returnee,Cluster sampling,13143,al.khalisreturnee
Baghdad,al.mahmoudiya,returnee,Cluster sampling,8587,al.mahmoudiyareturnee
Ninewa,al.mosul,returnee,Cluster sampling,160467,al.mosulreturnee
Diyala,al.muqdadiya,returnee,Cluster sampling,8098,al.muqdadiyareturnee
Babylon,al.mussyab,returnee,2 stages random - st1,770,al.mussyabreturnee
Anbar,al.ramadi,returnee,Cluster sampling,76317,al.ramadireturnee
Anbar,al.rutba,returnee,2 stages random - st1,4675,al.rutbareturnee
Ninewa,al.shikhan,returnee,2 stages random - st1,295,al.shikhanreturnee
Salah Al-Din,al.shirqat,returnee,Cluster sampling,20870,al.shirqatreturnee
Anbar,ana,returnee,Cluster sampling,4795,anareturnee
Salah Al-Din,balad,returnee,Cluster sampling,11428,baladreturnee
Salah Al-Din,beygee,returnee,Cluster sampling,19879,beygeereturnee
Kirkuk,daquq,returnee,Cluster sampling,924,daquqreturnee
Kirkuk,dibis,returnee,2 stages random - st1,1196,dibisreturnee
Anbar,haditha,returnee,Cluster sampling,4694,hadithareturnee
Anbar,heet,returnee,Cluster sampling,30677,heetreturnee
Diyala,khanaqin,returnee,Cluster sampling,15971,khanaqinreturnee
Kirkuk,kirkuk,returnee,Cluster sampling,27111,kirkukreturnee
Erbil,makhmour,returnee,Cluster sampling,5944,makhmourreturnee
Salah Al-Din,samarra,returnee,Cluster sampling,9358,samarrareturnee
Ninewa,sinjar,returnee,Cluster sampling,9512,sinjarreturnee
Ninewa,telafar,returnee,Cluster sampling,56076,telafarreturnee
Salah Al-Din,tikrit,returnee,Cluster sampling,28556,tikritreturnee
Ninewa,tilkaef,returnee,Cluster sampling,20105,tilkaefreturnee
Salah Al-Din,tooz.khurmato,returnee,Cluster sampling,7464,tooz.khurmatoreturnee
